Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,59.599998,60.119999,59.599998,60.040001,55.052338,8432600
2020-01-03,58.970001,58.980000,58.040001,58.060001,53.236832,10546400
2020-01-06,57.599998,57.689999,57.130001,57.389999,52.622486,8897200
2020-01-07,57.450001,58.599998,56.740002,58.320000,53.475231,7444300
2020-01-08,58.189999,58.980000,58.110001,58.750000,53.869499,5381500
2020-01-09,59.689999,59.709999,58.700001,59.230000,54.309639,5112700
2020-01-10,59.700001,59.700001,58.770000,58.860001,53.970371,4807700
2020-01-13,60.150002,60.160000,59.450001,60.060001,55.070683,6613700
2020-01-14,60.160000,60.639999,59.919998,60.320000,55.309086,6715200
2020-01-15,59.669998,59.700001,58.259998,58.389999,53.539417,10075100
2020-01-16,59.200001,59.689999,58.299999,58.750000,53.869499,11215700
2020-01-17,58.639999,58.750000,58.009998,58.580002,53.713631,8125700
2020-01-21,57.990002,59.000000,57.470001,58.240002,53.401875,9873700
2020-01-22,58.900002,58.939999,58.320000,58.349998,53.502747,8124500
2020-01-23,57.860001,58.070000,56.619999,57.480000,52.705009,9999200
2020-01-24,58.090000,58.139999,57.459999,57.730000,52.934250,10402200
2020-01-27,55.619999,55.990002,55.060001,55.259998,50.669434,9675500
2020-01-28,55.730000,57.119999,55.480000,57.090000,52.347408,8124400
2020-01-29,57.520000,57.520000,56.849998,57.189999,52.439095,7693400
2020-01-30,55.080002,56.040001,55.060001,55.799999,51.164566,10295700
2020-01-31,55.430000,55.480000,53.599998,53.939999,49.459080,13467200
2020-02-03,54.349998,54.939999,54.139999,54.770000,50.220139,9594300
2020-02-04,56.919998,57.639999,56.900002,57.520000,52.741688,12746600
2020-02-05,58.099998,58.150002,57.169998,57.919998,53.108448,6594400
2020-02-06,58.270000,58.279999,57.279999,58.020000,53.200150,4236300
2020-02-07,57.139999,57.139999,56.060001,56.200001,51.531342,6808400
2020-02-10,56.439999,57.049999,56.340000,57.020000,52.283230,4281200
2020-02-11,57.950001,58.900002,57.810001,58.660000,53.786987,6523200
2020-02-12,59.250000,59.750000,58.900002,59.630001,54.676407,5962900
2020-02-13,59.130001,59.700001,58.740002,59.330002,54.401329,6460100
2020-02-14,59.020000,59.169998,57.869999,58.189999,53.356026,6932400
2020-02-18,56.099998,56.560001,55.630001,56.180000,51.513000,10989000
2020-02-19,57.250000,57.939999,57.000000,57.639999,52.851711,7866300
2020-02-20,56.939999,57.040001,55.810001,56.480000,51.788086,7192900
2020-02-21,56.650002,56.650002,55.520000,55.590000,50.972023,6816600
2020-02-24,53.549999,54.689999,53.180000,54.119999,49.624126,9968800
2020-02-25,55.330002,55.470001,53.830002,53.860001,49.385731,12670700
2020-02-26,54.490002,55.410000,54.380001,55.029999,50.458534,10969300
2020-02-27,54.200001,54.599998,53.270000,53.290001,48.863079,11878900
2020-02-28,51.349998,54.049999,51.000000,53.840000,49.367401,13604500
2020-03-02,54.369999,56.009998,53.830002,55.980000,51.329628,13797700
2020-03-03,56.299999,56.369999,54.040001,54.880001,50.320995,14661800
2020-03-04,55.970001,57.090000,55.549999,57.080002,52.338238,9878200
2020-03-05,56.110001,56.389999,55.250000,55.730000,51.100391,10004200
2020-03-06,54.599998,55.080002,53.970001,55.070000,50.495220,12971200
2020-03-09,51.549999,54.139999,51.060001,51.830002,47.524368,13781100
2020-03-10,53.709999,54.619999,52.490002,54.509998,49.981735,11698700
2020-03-11,53.110001,53.560001,52.090000,52.240002,47.900314,14498000
2020-03-12,49.660000,50.990002,48.509998,48.689999,44.645214,15942200
2020-03-13,51.900002,52.459999,49.290001,52.230000,47.891140,14948700
2020-03-16,46.340000,48.349998,44.900002,44.900002,41.170059,16628200
2020-03-17,45.750000,48.560001,45.029999,48.540001,44.507683,13415700
2020-03-18,43.799999,46.090000,43.259998,44.369999,40.684090,15018500
2020-03-19,43.740002,45.180000,42.700001,43.889999,40.625771,11182600
2020-03-20,48.020000,48.279999,44.480000,44.529999,41.218174,14157700
2020-03-23,45.119999,45.610001,43.520000,45.259998,41.893879,10508600
2020-03-24,48.000000,48.919998,47.500000,48.869999,45.235386,12216200
2020-03-25,49.299999,50.049999,48.049999,49.000000,45.355721,9796600
2020-03-26,49.099998,50.459999,48.919998,49.869999,46.161022,10577500
2020-03-27,47.230000,48.090000,46.509998,46.910000,43.421162,12158500
2020-03-30,47.180000,48.160000,46.770000,47.820000,44.263485,8428300
2020-03-31,47.799999,49.029999,47.660000,47.790001,44.235714,9595700
2020-04-01,46.830002,47.560001,46.299999,46.509998,43.050907,8755200
2020-04-02,46.919998,48.220001,46.610001,48.130001,44.550434,6174700
2020-04-03,47.790001,48.150002,46.779999,47.060001,43.560009,5486200
2020-04-06,48.630001,50.099998,48.509998,49.970001,46.253574,7370300
2020-04-07,51.290001,51.320000,49.660000,49.720001,46.022179,6568700
2020-04-08,50.209999,50.599998,49.540001,50.270000,46.531273,6325900
2020-04-09,50.279999,50.660000,47.720001,48.330002,44.735558,12274000
2020-04-13,48.740002,49.090000,47.959999,48.750000,45.124317,9873200
2020-04-14,50.000000,51.270000,49.950001,50.630001,46.864487,11068800
2020-04-15,49.759998,49.970001,49.040001,49.660000,45.966640,9398100
2020-04-16,51.810001,53.139999,51.680000,52.400002,48.502853,18615900
2020-04-17,54.130001,54.189999,53.000000,53.689999,49.696915,11288500
2020-04-20,53.000000,53.820000,52.560001,52.590000,48.678726,9901700
2020-04-21,51.599998,51.810001,50.520000,51.369999,47.549458,13102500
2020-04-22,52.480000,53.110001,52.410000,52.950001,49.011951,8255500
2020-04-23,52.810001,53.130001,52.259998,52.639999,48.725006,7619900
2020-04-24,52.599998,52.889999,52.000000,52.730000,48.808315,5701800
2020-04-27,53.150002,53.750000,52.970001,53.509998,49.530308,5812300
2020-04-28,53.509998,53.730000,52.680000,52.759998,48.836090,8561100
2020-04-29,53.750000,54.689999,53.430000,54.480000,50.428154,8565500
2020-04-30,54.200001,54.410000,52.959999,53.130001,49.178562,6337900
2020-05-01,52.480000,52.560001,51.090000,51.099998,47.299534,10238700
2020-05-04,51.790001,52.180000,51.279999,52.150002,48.271458,7514000
2020-05-05,52.209999,52.580002,51.580002,51.709999,47.864170,7780700
2020-05-06,52.110001,52.619999,52.000000,52.130001,48.252945,8206700
2020-05-07,52.950001,52.980000,52.099998,52.330002,48.438065,5493400
2020-05-08,52.619999,53.340000,52.470001,52.910000,48.974922,6086000
2020-05-11,52.610001,52.830002,52.380001,52.400002,48.502853,6459300
2020-05-12,52.639999,52.639999,51.080002,51.099998,47.299534,8584500
2020-05-13,51.910000,52.020000,50.480000,50.919998,47.132919,8611000
2020-05-14,50.430000,52.150002,49.790001,52.099998,48.225166,13695600
2020-05-15,50.560001,51.049999,49.380001,49.799999,46.096226,17777200
2020-05-18,50.939999,52.189999,50.770000,51.869999,48.012268,12726500
2020-05-19,51.349998,51.459999,50.799999,50.810001,47.031109,12940300
2020-05-20,51.580002,52.090000,50.500000,51.840000,47.984505,8406200
2020-05-21,52.099998,52.209999,50.689999,50.750000,46.975571,7842600
2020-05-22,50.840000,50.860001,49.610001,49.799999,46.096226,12462300
2020-05-26,51.299999,51.400002,50.790001,50.820000,47.040363,8872000
2020-05-27,51.029999,51.740002,50.750000,51.740002,47.891941,11405700
2020-05-28,51.459999,51.619999,50.099998,50.279999,46.540527,8178700
2020-05-29,50.340000,50.730000,49.860001,50.330002,46.586807,10918500
2020-06-01,50.910000,51.279999,50.540001,51.029999,47.234753,6187300
2020-06-02,51.450001,52.040001,51.290001,52.009998,48.141857,6063600
2020-06-03,52.639999,53.250000,52.419998,53.060001,49.113781,8380200
2020-06-04,53.060001,54.369999,53.029999,54.279999,50.243042,13269500
2020-06-05,55.500000,56.340000,55.060001,55.200001,51.094616,9776100
2020-06-08,55.740002,55.779999,54.709999,55.570000,51.437088,6302100
2020-06-09,55.290001,56.630001,54.950001,56.610001,52.399746,9355100
2020-06-10,56.820000,58.040001,56.820000,57.549999,53.269836,9194300
2020-06-11,55.849998,56.410000,55.009998,55.040001,50.946514,9877100
2020-06-12,56.500000,56.869999,55.349998,56.000000,51.835117,9838800
2020-06-15,54.709999,56.119999,54.520000,56.020000,51.853642,7509700
2020-06-16,56.590000,57.000000,55.540001,55.799999,51.649990,8827200
2020-06-17,56.150002,56.820000,55.889999,56.599998,52.390480,8248700
2020-06-18,56.040001,56.540001,55.790001,56.150002,52.362514,6831500
2020-06-19,56.480000,56.500000,55.270000,55.310001,51.579174,6965100
2020-06-22,55.500000,56.000000,55.320000,56.000000,52.222633,4480400
2020-06-23,56.639999,57.160000,56.529999,56.759998,52.931370,7836500
2020-06-24,56.709999,57.060001,56.160000,56.580002,52.763508,7080200
2020-06-25,56.560001,57.090000,55.950001,57.040001,53.192478,4509600
2020-06-26,57.000000,57.259998,56.209999,56.330002,52.530376,6229300
2020-06-29,56.340000,56.410000,55.660000,56.389999,52.586323,5016600
2020-06-30,56.250000,56.990002,56.189999,56.770000,52.940693,7158700
2020-07-01,56.970001,57.470001,56.759998,56.820000,52.987316,6866500
2020-07-02,57.950001,59.070000,57.950001,58.619999,54.665905,10021200
2020-07-06,60.669998,62.130001,60.560001,61.880001,57.706013,12725600
2020-07-07,61.259998,61.500000,60.680000,60.709999,56.614925,6672300
2020-07-08,61.639999,62.740002,61.500000,62.590000,58.368118,8721900
2020-07-09,62.950001,64.970001,62.889999,64.779999,60.410397,16903300
2020-07-10,64.470001,64.559998,63.189999,63.849998,59.543125,10700000
2020-07-13,65.199997,67.080002,64.980003,65.070000,60.680832,16667700
2020-07-14,66.000000,67.029999,65.330002,66.959999,62.443344,10482700
2020-07-15,67.180000,67.209999,65.160004,66.059998,61.604053,12432500
2020-07-16,65.379997,66.629997,64.320000,66.589996,62.098309,15709400
2020-07-17,67.309998,68.000000,66.370003,66.400002,61.921112,11716600
2020-07-20,66.699997,66.980003,65.800003,66.889999,62.378059,6357300
2020-07-21,68.839996,69.250000,67.709999,67.809998,63.236004,10619700
2020-07-22,68.099998,68.900002,68.029999,68.529999,63.907452,7366100
2020-07-23,68.260002,68.500000,66.750000,67.370003,62.825684,8559500
2020-07-24,71.400002,76.889999,71.349998,73.900002,68.915207,41226800
2020-07-27,81.360001,83.400002,80.430000,83.250000,77.634544,39899200
2020-07-28,79.349998,79.580002,76.489998,76.919998,71.731514,31500100
2020-07-29,77.110001,83.370003,77.059998,82.669998,77.093651,28304000
2020-07-30,80.010002,81.279999,78.610001,79.930000,74.538475,16820300
2020-07-31,79.629997,79.769997,77.510002,78.889999,73.568634,12021200
2020-08-03,77.769997,79.150002,77.410004,78.949997,73.624596,10129800
2020-08-04,79.330002,80.190002,78.739998,80.190002,74.780937,12569400
2020-08-05,80.980003,84.000000,80.570000,81.629997,76.123810,14436300
2020-08-06,82.040001,82.099998,80.220001,80.519997,75.088684,9838700
2020-08-07,80.489998,80.790001,79.410004,80.029999,74.631721,8705800
2020-08-10,80.550003,80.849998,79.220001,79.870003,74.482529,7421400
2020-08-11,79.089996,79.199997,77.940002,77.940002,72.682716,7056300
2020-08-12,78.160004,79.550003,77.730003,79.389999,74.034920,8354400
2020-08-13,79.000000,79.099998,77.830002,78.300003,73.018433,6551800
2020-08-14,78.419998,79.230003,78.050003,78.410004,73.121010,5611200
2020-08-17,79.800003,80.889999,79.660004,80.190002,74.780937,8663900
2020-08-18,80.220001,80.820000,79.250000,79.410004,74.053543,6804800
2020-08-19,79.010002,79.230003,78.250000,78.540001,73.242249,7976800
2020-08-20,76.320000,77.099998,75.980003,76.809998,71.628929,11457100
2020-08-21,78.019997,78.730003,77.860001,78.339996,73.055725,7942300
2020-08-24,79.730003,79.910004,78.489998,78.900002,73.577950,6405600
2020-08-25,79.849998,80.480003,79.470001,80.040001,74.641068,6113100
2020-08-26,81.250000,82.169998,81.010002,81.750000,76.235710,7821600
2020-08-27,82.180000,82.309998,80.169998,80.599998,75.163292,8018200
2020-08-28,80.059998,80.879997,79.910004,80.440002,75.014084,5699500
2020-08-31,79.000000,79.760002,78.690002,79.250000,73.904343,9812900
2020-09-01,80.120003,81.599998,79.989998,81.550003,76.049210,10193300
2020-09-02,81.349998,82.709999,79.879997,82.169998,76.627380,12567800
2020-09-03,81.120003,81.809998,78.379997,81.180000,75.704178,20090100
2020-09-04,80.500000,81.470001,77.410004,78.910004,73.587288,13638700
2020-09-08,78.019997,79.150002,77.220001,77.320000,72.104530,11553500
2020-09-09,78.620003,79.699997,78.550003,79.400002,74.044243,7867500
2020-09-10,80.739998,81.230003,78.760002,78.900002,73.577950,11241800
2020-09-11,80.010002,80.300003,78.599998,78.820000,73.503349,7853500
2020-09-14,80.500000,81.120003,79.949997,80.500000,75.070030,7091100
2020-09-15,81.559998,86.790001,81.379997,85.849998,80.059166,21048400
2020-09-16,86.489998,86.489998,83.040001,83.129997,77.522621,14492600
2020-09-17,81.000000,82.290001,80.610001,81.910004,76.779305,10090200
2020-09-18,82.370003,82.839996,80.110001,80.230003,75.204536,10528300
2020-09-21,79.800003,80.650002,79.080002,80.589996,75.541992,8417100
2020-09-22,80.830002,80.889999,79.400002,80.480003,75.438881,6375200
2020-09-23,79.699997,79.930000,77.889999,77.919998,73.039223,9094700
2020-09-24,76.820000,79.000000,76.169998,78.379997,73.470413,9940900
2020-09-25,78.169998,78.919998,77.389999,78.879997,73.939095,6057500
2020-09-28,80.309998,80.370003,79.470001,79.769997,74.773338,5999300
2020-09-29,79.699997,81.239998,79.309998,80.510002,75.467010,6114600
2020-09-30,80.589996,81.940002,80.570000,81.070000,75.991920,5878900
2020-10-01,82.059998,82.720001,81.739998,82.620003,77.444832,6253800
2020-10-02,80.709999,82.199997,80.610001,80.800003,75.738831,6145900
2020-10-05,81.550003,84.629997,81.550003,84.540001,79.244568,10129100
2020-10-06,83.769997,84.449997,82.769997,83.120003,77.913521,7795600
2020-10-07,84.779999,87.000000,84.779999,86.919998,81.475479,11446400
